,Education,Marital_Status,Age_Group,Income_Class,Children,Wine_Preference,Fruit_Preference,Meat_Preference,Sweets_Preference,Purchase_Place
515,Graduation,Single,40s,High,No Children,Wine,Fruits,Meat,Sweets,Web
356,PhD,Single,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
186,Graduation,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1,Graduation,Single,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
299,Graduation,Divorced,30s,Low,Children,No Wine,No Fruits,No Meat,Sweets,Web
2078,PhD,Together,60s,High,Children,Wine,No Fruits,Meat,Sweets,Store
1381,Master,Divorced,40s,High,Children,Wine,Fruits,Meat,No Sweets,Web
813,Graduation,Married,50s,High,Children,Wine,Fruits,Meat,No Sweets,Store
581,PhD,Married,30s,Medium,No Children,Wine,Fruits,Meat,Sweets,Store
734,Graduation,Single,80s,High,No Children,Wine,Fruits,Meat,Sweets,Store
270,Graduation,Together,30s,Medium,Children,Wine,No Fruits,Meat,Sweets,Web
2082,Basic,Married,20s,Low,Children,No Wine,Fruits,No Meat,Sweets,Store
93,Graduation,Together,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
1815,PhD,Married,40s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
387,2n Cycle,Divorced,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
684,PhD,Single,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
385,Graduation,Single,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
654,Basic,Single,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
426,2n Cycle,Married,20s,Low,Children,No Wine,Fruits,No Meat,No Sweets,Store
752,Graduation,Married,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
983,Graduation,Together,30s,High,No Children,Wine,No Fruits,Meat,Sweets,Store
836,Graduation,Married,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1558,PhD,Together,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1863,PhD,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1061,Graduation,Together,50s,Medium,No Children,Wine,No Fruits,No Meat,No Sweets,Web
620,2n Cycle,Single,50s,Medium,No Children,No Wine,Fruits,No Meat,No Sweets,Store
1252,Graduation,Divorced,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
504,Graduation,Single,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
317,Graduation,Single,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
954,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1368,Graduation,Married,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1099,PhD,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1134,Graduation,Together,50s,Medium,Children,Wine,No Fruits,Meat,Sweets,Web
1173,Graduation,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2136,Graduation,Single,40s,Medium,Children,No Wine,Fruits,Meat,Sweets,Store
1203,Graduation,Single,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
2128,Graduation,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1093,PhD,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
513,PhD,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
892,Graduation,Single,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1518,2n Cycle,Single,20s,Low,Children,Wine,Fruits,Meat,Sweets,Web
1210,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
102,PhD,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Web
963,Master,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
537,2n Cycle,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1526,PhD,Single,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
34,PhD,Married,40s,High,Children,Wine,Fruits,Meat,No Sweets,Store
1001,Master,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1213,PhD,Single,50s,High,No Children,Wine,Fruits,Meat,No Sweets,Web
775,Master,Married,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
2098,2n Cycle,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
108,2n Cycle,Married,30s,Medium,Children,No Wine,Fruits,Meat,Sweets,Web
1644,Graduation,Together,40s,Medium,Children,No Wine,Fruits,Meat,No Sweets,Web
156,Graduation,Divorced,50s,Medium,No Children,Wine,No Fruits,No Meat,No Sweets,Store
1106,2n Cycle,Married,30s,Medium,Children,Wine,Fruits,No Meat,No Sweets,Web
2074,Graduation,Single,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
100,Master,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Web
861,Master,Together,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
2157,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1989,Graduation,Married,40s,High,Children,Wine,Fruits,Meat,Sweets,Web
259,Graduation,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1896,Graduation,Married,40s,High,Children,Wine,Fruits,Meat,Sweets,Web
136,Graduation,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
921,Graduation,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
663,PhD,Married,40s,High,Children,Wine,Fruits,Meat,Sweets,Web
2061,Graduation,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
143,PhD,Together,50s,High,Children,Wine,No Fruits,No Meat,No Sweets,Store
1202,Graduation,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Store
607,PhD,Married,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
2141,Basic,Single,80s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1865,PhD,Divorced,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
832,Graduation,Together,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1167,Graduation,Together,60s,Medium,Children,Wine,Fruits,Meat,No Sweets,Web
2033,Graduation,Married,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
342,Graduation,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
288,PhD,Divorced,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
2051,Graduation,Together,60s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
1155,Graduation,Married,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1876,Graduation,Divorced,40s,High,Children,Wine,No Fruits,No Meat,No Sweets,Web
367,PhD,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1489,Master,Married,30s,Medium,Children,Wine,No Fruits,Meat,Sweets,Store
1446,Graduation,Together,30s,Low,Children,No Wine,Fruits,No Meat,No Sweets,Web
1946,Graduation,Single,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
71,Graduation,Single,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
327,Graduation,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1437,PhD,Together,40s,Medium,No Children,Wine,Fruits,Meat,Sweets,Web
1584,Master,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2027,Graduation,Married,40s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
655,PhD,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
918,Graduation,Single,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1701,Graduation,Together,30s,Medium,Children,No Wine,No Fruits,Meat,Sweets,Web
94,PhD,Married,60s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1687,Basic,Together,30s,Low,Children,No Wine,Fruits,No Meat,Sweets,Web
505,Graduation,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2089,Graduation,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1909,PhD,Married,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
758,PhD,Married,60s,High,No Children,Wine,Fruits,Meat,No Sweets,Web
1830,Graduation,Married,20s,Medium,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
2069,Graduation,Together,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
1557,Graduation,Married,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
1466,Graduation,Married,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2161,2n Cycle,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
257,Graduation,Married,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1797,Graduation,Divorced,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
693,PhD,Divorced,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1496,Graduation,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
745,Master,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1478,Graduation,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1606,Graduation,Single,50s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
1867,PhD,Single,20s,Medium,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
1932,Graduation,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
84,Master,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1268,2n Cycle,Divorced,40s,Medium,No Children,Wine,Fruits,Meat,Sweets,Store
1410,PhD,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1891,Graduation,Married,50s,Medium,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
51,Master,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
485,PhD,Together,60s,High,Children,Wine,No Fruits,Meat,Sweets,Store
640,PhD,Together,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1436,PhD,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
827,Graduation,Together,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
595,Basic,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1275,Master,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2005,Graduation,Married,50s,Medium,Children,Wine,Fruits,Meat,No Sweets,Store
173,Basic,Married,50s,Medium,No Children,No Wine,No Fruits,No Meat,Sweets,Store
822,Graduation,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
2073,Graduation,Together,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
975,2n Cycle,Single,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2084,Graduation,Divorced,40s,High,Children,Wine,Fruits,Meat,No Sweets,Store
631,Master,Together,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
814,Graduation,Divorced,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
792,Master,Married,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
897,PhD,Single,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
147,Graduation,Together,30s,Medium,Children,No Wine,Fruits,No Meat,Sweets,Store
1170,Basic,Single,50s,Low,Children,No Wine,Fruits,No Meat,No Sweets,Store
787,Master,Married,40s,High,Children,Wine,No Fruits,Meat,Sweets,Store
1339,Graduation,Together,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
466,Graduation,Married,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
1162,Master,Married,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
1483,Master,Together,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
1314,PhD,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
568,Graduation,Together,60s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1566,Master,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
941,Master,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2184,Graduation,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1033,Master,Married,40s,Medium,Children,No Wine,Fruits,No Meat,No Sweets,Store
304,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
276,Master,Together,50s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
1551,PhD,Married,60s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
91,2n Cycle,Single,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
995,Graduation,Married,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1627,2n Cycle,Together,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
953,Graduation,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
743,PhD,Together,30s,High,Children,Wine,Fruits,Meat,Sweets,Web
1907,Graduation,Single,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
1249,Master,Together,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
435,Graduation,Married,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
50,Graduation,Married,30s,High,Children,Wine,No Fruits,Meat,Sweets,Store
652,Graduation,Married,50s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
497,PhD,Together,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
778,PhD,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1798,PhD,Together,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
970,Graduation,Divorced,30s,High,Children,Wine,Fruits,Meat,Sweets,Web
2100,2n Cycle,Married,50s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
1773,Graduation,Together,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1379,Graduation,Divorced,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2140,2n Cycle,Widow,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
960,2n Cycle,Divorced,50s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
1477,Graduation,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1631,Graduation,Divorced,40s,Medium,No Children,Wine,Fruits,Meat,Sweets,Web
117,Graduation,Single,20s,High,No Children,Wine,Fruits,Meat,No Sweets,Store
83,Graduation,Together,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
1450,Graduation,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1618,PhD,Married,50s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
1710,Basic,Single,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
360,Graduation,Single,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
1762,2n Cycle,Married,20s,High,No Children,No Wine,Fruits,Meat,Sweets,Store
2021,Graduation,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
534,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Store
125,Basic,Divorced,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1669,Master,Divorced,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
211,PhD,Together,40s,High,Children,Wine,No Fruits,Meat,No Sweets,Store
386,2n Cycle,Together,30s,Low,Children,No Wine,No Fruits,No Meat,Sweets,Store
436,PhD,Married,50s,Medium,Children,Wine,No Fruits,Meat,Sweets,Store
1315,Master,Single,20s,Low,No Children,No Wine,Fruits,No Meat,No Sweets,Web
1499,Graduation,Married,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
1709,Graduation,Together,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
1532,2n Cycle,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1769,Graduation,Married,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1748,Graduation,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
192,PhD,Together,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1468,Master,Single,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
1427,Graduation,Together,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1858,2n Cycle,Single,20s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
2214,Master,Together,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
2171,Graduation,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
665,2n Cycle,Married,20s,Medium,Children,No Wine,No Fruits,Meat,No Sweets,Web
729,PhD,Single,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1177,Master,Divorced,40s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1374,Graduation,Together,30s,Low,Children,No Wine,Fruits,No Meat,No Sweets,Store
1574,Graduation,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2025,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1882,PhD,Together,60s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
2148,2n Cycle,Divorced,40s,High,No Children,Wine,No Fruits,Meat,No Sweets,Store
695,PhD,Together,60s,High,Children,Wine,No Fruits,No Meat,No Sweets,Store
587,Graduation,Single,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2175,Graduation,Married,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
611,2n Cycle,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1148,Graduation,Together,50s,Medium,Children,Wine,No Fruits,Meat,Sweets,Web
495,Graduation,Married,80s,Medium,No Children,No Wine,No Fruits,Meat,No Sweets,Store
2185,Basic,Together,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1981,PhD,Married,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
1582,PhD,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
635,Master,Married,30s,High,Children,Wine,No Fruits,Meat,Sweets,Store
1041,Master,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1689,Master,Together,50s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
2039,Graduation,Divorced,30s,High,Children,Wine,Fruits,Meat,No Sweets,Store
391,PhD,Single,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1443,Master,Widow,60s,High,Children,Wine,No Fruits,No Meat,No Sweets,Web
731,Graduation,Married,40s,High,No Children,Wine,Fruits,Meat,Sweets,Web
643,Graduation,Together,50s,High,Children,Wine,No Fruits,No Meat,No Sweets,Store
1455,Graduation,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1341,Graduation,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2207,Master,Single,40s,Medium,No Children,Wine,No Fruits,Meat,No Sweets,Store
1544,Master,Married,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
676,PhD,Together,40s,High,No Children,Wine,Fruits,Meat,No Sweets,Web
1933,PhD,Single,70s,Medium,No Children,Wine,No Fruits,No Meat,No Sweets,Store
738,PhD,Together,50s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
1803,Graduation,Together,40s,High,Children,Wine,Fruits,Meat,Sweets,Web
1017,Graduation,Together,40s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1440,Graduation,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1447,Master,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1414,2n Cycle,Divorced,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
158,Graduation,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Store
1425,Graduation,Together,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
506,Master,Married,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1816,Graduation,Together,30s,Medium,Children,No Wine,No Fruits,Meat,No Sweets,Web
2104,PhD,Married,20s,High,No Children,Wine,No Fruits,Meat,Sweets,Store
2034,Graduation,Single,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1045,Graduation,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1133,Graduation,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
198,Graduation,Divorced,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
1482,Graduation,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1225,Graduation,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1920,PhD,Widow,60s,Medium,Children,Wine,Fruits,No Meat,No Sweets,Web
1199,Graduation,Together,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
359,Master,Single,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
42,Graduation,Single,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1362,Graduation,Single,50s,Medium,Children,Wine,No Fruits,No Meat,Sweets,Web
406,Master,Married,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
0,Graduation,Single,50s,Medium,No Children,Wine,Fruits,Meat,Sweets,Web
1332,Graduation,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Store
687,Graduation,Divorced,30s,High,Children,Wine,Fruits,Meat,Sweets,Web
905,2n Cycle,Single,50s,Medium,Children,Wine,Fruits,No Meat,Sweets,Store
2208,Graduation,Single,20s,Medium,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
514,Master,Married,30s,Medium,No Children,Wine,Fruits,Meat,Sweets,Store
1218,PhD,Together,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1997,Graduation,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1097,Graduation,Divorced,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
59,Graduation,Together,60s,High,No Children,Wine,Fruits,Meat,Sweets,Web
648,Graduation,Married,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1749,PhD,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
870,2n Cycle,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
470,Graduation,Married,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
1145,Graduation,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
720,PhD,Divorced,60s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
1664,Graduation,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
942,PhD,Married,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1850,Graduation,Single,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
339,PhD,Single,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1395,Master,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1522,Master,Single,40s,Medium,Children,Wine,Fruits,Meat,No Sweets,Store
390,Graduation,Together,50s,Medium,No Children,No Wine,Fruits,Meat,Sweets,Web
1757,Graduation,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1874,Master,Together,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1179,Graduation,Divorced,50s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Store
39,Master,Married,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
458,Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1356,Graduation,Married,50s,High,Children,Wine,Fruits,No Meat,No Sweets,Store
980,Graduation,Single,20s,High,Children,Wine,Fruits,Meat,Sweets,Store
781,Graduation,Single,50s,Medium,Children,No Wine,Fruits,No Meat,Sweets,Store
135,Graduation,Married,30s,Low,Children,No Wine,No Fruits,No Meat,Sweets,Store
896,PhD,Married,20s,Medium,No Children,Wine,No Fruits,No Meat,No Sweets,Store
1296,Graduation,Together,30s,Medium,Children,Wine,Fruits,Meat,No Sweets,Store
1320,Graduation,Single,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1389,Master,Together,60s,Medium,Children,Wine,Fruits,Meat,No Sweets,Web
464,Master,Married,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
564,Graduation,Married,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1970,Graduation,Married,20s,Medium,No Children,No Wine,No Fruits,Meat,Sweets,Web
1408,Graduation,Married,40s,Medium,Children,No Wine,Fruits,No Meat,No Sweets,Store
1916,Master,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
686,Graduation,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Web
145,Graduation,Single,50s,Medium,Children,Wine,No Fruits,Meat,Sweets,Web
977,Graduation,Divorced,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2004,Master,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
865,Master,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
909,Master,Single,40s,Medium,Children,No Wine,Fruits,No Meat,No Sweets,Store
2037,Graduation,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1502,Graduation,Single,40s,Medium,Children,No Wine,Fruits,No Meat,No Sweets,Store
469,Graduation,Single,30s,Medium,Children,Wine,Fruits,No Meat,Sweets,Web
1189,Master,Married,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
2179,PhD,YOLO,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
1345,Graduation,Single,40s,High,No Children,Wine,Fruits,Meat,Sweets,Web
1694,Master,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Web
1786,Graduation,Single,40s,Medium,Children,Wine,No Fruits,Meat,Sweets,Store
1310,Graduation,Single,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
146,Graduation,Single,30s,High,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2192,Graduation,Together,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1439,Graduation,Divorced,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1819,PhD,Married,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
784,2n Cycle,Divorced,40s,High,Children,Wine,Fruits,Meat,No Sweets,Web
1059,Graduation,Together,50s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
1192,Master,Married,50s,Medium,Children,Wine,Fruits,Meat,No Sweets,Web
1647,PhD,Single,20s,Medium,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
1948,Graduation,Together,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2058,Basic,Widow,50s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
1501,Master,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
2135,PhD,Married,50s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
1617,PhD,Together,60s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
1994,Graduation,Single,20s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Web
408,Graduation,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1325,Graduation,Widow,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
226,PhD,Single,50s,High,Children,Wine,No Fruits,Meat,Sweets,Store
1361,PhD,Married,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
1009,PhD,Together,50s,High,Children,Wine,Fruits,Meat,No Sweets,Web
